Bin	Histogram
0	104
1	102
2	96
3	88
4	79
5	103
6	110
7	95
8	97
9	126
Bin	Histogram
0	95
1	114
2	89
3	105
4	100
5	109
6	102
7	98
8	90
9	98
Bin	Histogram
0	114
1	76
2	114
3	117
4	91
5	107
6	74
7	88
8	106
9	113
Bin	Histogram
0	100
1	111
2	113
3	104
4	101
5	90
6	105
7	93
8	81
9	102
Bin	Histogram
0	110
1	106
2	109
3	93
4	101
5	89
6	100
7	100
8	105
9	87
Bin	Histogram
0	100
1	110
2	112
3	101
4	100
5	101
6	81
7	98
8	97
9	100
Bin	Histogram
0	100
1	101
2	98
3	104
4	94
5	91
6	90
7	96
8	116
9	110
Bin	Histogram
0	103
1	100
2	122
3	103
4	98
5	90
6	89
7	96
8	96
9	103
Bin	Histogram
0	81
1	115
2	88
3	93
4	103
5	101
6	101
7	97
8	116
9	105
Bin	Histogram
0	119
1	94
2	99
3	101
4	101
5	102
6	102
7	86
8	107
9	89
Bin	Histogram
0	99
1	97
2	105
3	107
4	89
5	100
6	98
7	87
8	109
9	109
Bin	Histogram
0	97
1	99
2	108
3	93
4	99
5	99
6	102
7	94
8	101
9	108
Bin	Histogram
0	97
1	108
2	105
3	107
4	95
5	99
6	123
7	97
8	85
9	84
Bin	Histogram
0	100
1	97
2	100
3	97
4	106
5	96
6	101
7	100
8	106
9	97
Bin	Histogram
0	99
1	111
2	100
3	86
4	106
5	106
6	92
7	91
8	103
9	106
Bin	Histogram
0	83
1	118
2	108
3	78
4	107
5	119
6	98
7	79
8	94
9	116
Bin	Histogram
0	102
1	84
2	105
3	121
4	116
5	96
6	84
7	91
8	111
9	90
Bin	Histogram
0	103
1	111
2	109
3	111
4	97
5	94
6	95
7	90
8	94
9	96
Bin	Histogram
0	91
1	112
2	91
3	92
4	112
5	85
6	95
7	86
8	122
9	114
Bin	Histogram
0	110
1	84
2	88
3	106
4	114
5	115
6	92
7	82
8	92
9	117
Bin	Histogram
0	98
1	86
2	104
3	108
4	90
5	96
6	103
7	109
8	99
9	107
Bin	Histogram
0	107
1	89
2	91
3	108
4	95
5	89
6	94
7	110
8	98
9	119
Bin	Histogram
0	105
1	88
2	106
3	104
4	98
5	98
6	87
7	111
8	107
9	96
Bin	Histogram
0	105
1	83
2	102
3	108
4	85
5	94
6	97
7	110
8	102
9	114
Bin	Histogram
0	76
1	122
2	92
3	101
4	109
5	106
6	95
7	94
8	99
9	106
Bin	Histogram
0	102
1	103
2	83
3	105
4	97
5	113
6	92
7	91
8	98
9	116
Bin	Histogram
0	90
1	119
2	103
3	92
4	86
5	71
6	116
7	108
8	101
9	114
Bin	Histogram
0	99
1	98
2	103
3	91
4	108
5	107
6	104
7	85
8	109
9	96
Bin	Histogram
0	91
1	92
2	109
3	110
4	102
5	123
6	98
7	106
8	85
9	84
Bin	Histogram
0	101
1	92
2	101
3	98
4	101
5	90
6	101
7	110
8	108
9	98
Bin	Histogram
0	95
1	97
2	97
3	115
4	105
5	117
6	87
7	95
8	98
9	94
Bin	Histogram
0	102
1	97
2	91
3	90
4	74
5	117
6	102
7	118
8	97
9	112
